epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.594,1.48325,2.74902,1.27286,0.39696,0.61516,0.49907,0.30711,1.31455,1.97629,1.20314,0.000554193,0.000554193,0.000554193
2,265.399,1.46259,2.11593,1.27866,0.52916,0.60148,0.57145,0.33045,1.36603,1.82008,1.25399,0.00108788,0.00108788,0.00108788
3,400.509,1.50083,1.82992,1.30579,0.62676,0.72589,0.68725,0.38387,1.40699,1.53586,1.25899,0.00159957,0.00159957,0.00159957
4,530.113,1.45148,1.69189,1.2968,0.60105,0.76523,0.67275,0.39005,1.38377,1.45748,1.24885,0.00156798,0.00156798,0.00156798
5,659.724,1.41962,1.5227,1.25439,0.69331,0.73701,0.75847,0.44357,1.35024,1.24175,1.20493,0.00153497,0.00153497,0.00153497
6,795.379,1.43622,1.41922,1.26706,0.6822,0.7752,0.77293,0.46479,1.30631,1.14875,1.19713,0.00150197,0.00150197,0.00150197
7,923.977,1.42276,1.37776,1.26049,0.65793,0.75409,0.76767,0.4652,1.32576,1.11674,1.19687,0.00146896,0.00146896,0.00146896
8,1049.86,1.41319,1.34979,1.23922,0.68491,0.75786,0.75457,0.43627,1.37327,1.12914,1.23825,0.00143595,0.00143595,0.00143595
9,1174.87,1.39184,1.28247,1.25283,0.71632,0.73319,0.76335,0.45789,1.29187,1.08383,1.18755,0.00140295,0.00140295,0.00140295
10,1295.59,1.39846,1.23573,1.25042,0.76157,0.79553,0.81697,0.48147,1.31671,1.00222,1.19552,0.00136994,0.00136994,0.00136994
11,1404.78,1.37402,1.19932,1.21532,0.74257,0.77431,0.79443,0.48129,1.29184,0.98988,1.17642,0.00133693,0.00133693,0.00133693
12,1514.05,1.34413,1.1672,1.22058,0.75561,0.79916,0.82861,0.51158,1.27246,0.9207,1.1667,0.00130393,0.00130393,0.00130393
